Task,Best Model,Accuracy,Sensitivity,Specificity,PPV,NPV,AUC,Test Samples,Test Positives,N
Sustained Phonation A,VideoPrism,$71.5 \pm 0.5$,$54.8 \pm 2.9$,$79.7 \pm 1.5$,$57.2 \pm 1.2$,$78.5 \pm 0.9$,$79.2 \pm 0.2$,256.0,84.0,30
Sustained Phonation E,VideoPrism,$73.1 \pm 0.3$,$51.9 \pm 1.0$,$83.4 \pm 0.6$,$60.5 \pm 0.6$,$78.0 \pm 0.3$,$80.7 \pm 0.1$,256.0,84.0,30
Sustained Phonation O,VideoPrism,$73.4 \pm 0.3$,$56.3 \pm 1.2$,$81.7 \pm 0.5$,$60.1 \pm 0.5$,$79.3 \pm 0.4$,$81.0 \pm 0.1$,256.0,84.0,30
Facial Expression Disgust,VJEPA2,$78.7 \pm 0.3$,$57.3 \pm 0.8$,$87.8 \pm 0.4$,$66.7 \pm 0.6$,$82.9 \pm 0.2$,$79.2 \pm 0.1$,339.0,101.0,30
Facial Expression Smile,VideoPrism,$74.3 \pm 0.3$,$51.4 \pm 2.2$,$84.1 \pm 1.1$,$58.3 \pm 0.9$,$80.3 \pm 0.5$,$80.3 \pm 0.3$,341.0,102.0,30
Facial Expression Surprise,VJEPA2-SSv2,$77.4 \pm 0.4$,$55.3 \pm 1.4$,$86.6 \pm 0.8$,$63.5 \pm 1.0$,$82.3 \pm 0.4$,$80.2 \pm 0.1$,339.0,100.0,30
Extend Arm,VJEPA2-SSv2,$78.2 \pm 0.3$,$55.8 \pm 1.4$,$87.8 \pm 0.6$,$66.4 \pm 0.8$,$82.3 \pm 0.4$,$83.2 \pm 0.1$,340.0,102.0,30
Eye Gaze,VideoPrism,$75.2 \pm 0.3$,$57.3 \pm 1.1$,$83.9 \pm 0.8$,$63.6 \pm 0.9$,$80.1 \pm 0.3$,$81.0 \pm 0.1$,256.0,84.0,30
Finger Tapping,TimeSformer,$73.0 \pm 0.4$,$43.2 \pm 1.2$,$85.8 \pm 0.9$,$57.0 \pm 1.1$,$77.8 \pm 0.2$,$76.4 \pm 0.3$,342.0,103.0,30
Flip Palm,VJEPA2-SSv2,$80.6 \pm 0.3$,$56.2 \pm 0.9$,$90.3 \pm 0.5$,$69.7 \pm 0.9$,$83.9 \pm 0.2$,$85.3 \pm 0.2$,314.0,89.0,30
Head Pose,VideoPrism,$71.7 \pm 0.4$,$52.5 \pm 1.1$,$81.0 \pm 1.0$,$57.3 \pm 0.9$,$77.9 \pm 0.2$,$79.3 \pm 0.1$,255.0,83.0,30
Nose Touch,VJEPA2-SSv2,$79.3 \pm 0.2$,$54.2 \pm 1.0$,$89.3 \pm 0.3$,$66.8 \pm 0.5$,$83.1 \pm 0.3$,$83.0 \pm 0.1$,313.0,89.0,30
Open Fist,VideoPrism,$76.8 \pm 0.3$,$54.6 \pm 1.9$,$85.7 \pm 0.5$,$60.5 \pm 0.4$,$82.5 \pm 0.5$,$84.3 \pm 0.1$,314.0,90.0,30
Pangram Utterance,VideoPrism,$75.5 \pm 0.4$,$50.1 \pm 1.0$,$86.8 \pm 0.9$,$63.2 \pm 1.4$,$79.6 \pm 0.2$,$81.3 \pm 0.2$,350.0,108.0,30
Resting Face,VJEPA2-SSv2,$69.3 \pm 0.7$,$84.5 \pm 0.9$,$46.3 \pm 1.7$,$70.5 \pm 0.6$,$66.5 \pm 1.3$,$77.6 \pm 0.5$,88.0,53.0,30
Reverse Count,VideoPrism,$73.2 \pm 0.3$,$52.8 \pm 0.9$,$83.0 \pm 0.5$,$60.0 \pm 0.6$,$78.5 \pm 0.3$,$80.0 \pm 0.1$,255.0,83.0,30
Tongue Twister,VideoPrism,$73.4 \pm 0.3$,$54.0 \pm 1.2$,$82.4 \pm 0.7$,$58.9 \pm 0.6$,$79.4 \pm 0.4$,$77.1 \pm 0.2$,233.0,74.0,30
